edge_id,node1_id,node2_id,distance,type
1,809,1000,0.0,spatial
2,775,841,0.0,spatial
3,869,1060,0.0,spatial
4,859,1073,0.0,spatial
5,840,870,0.0,spatial
6,867,1138,0.0,spatial
7,998,1033,0.0,spatial
8,788,1072,0.0,spatial
9,814,1022,0.0,spatial
10,900,961,0.0,spatial
11,941,1027,0.0,spatial
12,865,1065,0.0,spatial
13,1011,1081,0.0,spatial
14,1024,1067,0.0,spatial
15,780,1040,0.0,spatial
16,805,1093,0.0,spatial
17,1045,1108,0.0,spatial
18,837,867,0.0,spatial
19,1048,1182,0.0,spatial
20,1006,1137,0.0,spatial
21,775,915,0.0,spatial
22,910,1147,0.0,spatial
23,802,952,0.0,spatial
24,861,1073,0.0,spatial
25,840,1068,0.0,spatial
26,931,1016,0.0,spatial
27,974,1068,0.0,spatial
28,962,966,0.0,spatial
29,917,1073,0.0,spatial
30,1072,1175,0.0,spatial
31,921,1147,0.0,spatial
32,769,1120,0.0,spatial
33,1068,1190,0.0,spatial
34,836,838,0.0,spatial
35,1082,1101,0.0,spatial
36,786,1066,0.0,spatial
37,933,1113,0.0,spatial
38,761,998,0.0,spatial
39,937,1123,0.0,spatial
40,814,1128,0.0,spatial
41,843,979,0.0,spatial
42,844,1066,0.0,spatial
43,926,1066,0.0,spatial
44,987,1206,0.0,spatial
45,1038,1085,0.0,spatial
46,990,1052,0.0,spatial
47,799,1077,0.0,spatial
48,948,1080,0.0,spatial
49,775,1070,0.0,spatial
50,881,907,0.0,spatial
51,781,799,0.0,spatial
52,875,1054,0.0,spatial
53,865,923,0.0,spatial
54,894,895,0.0,spatial
55,1029,1113,0.0,spatial
56,881,1143,0.0,spatial
57,1072,1168,0.0,spatial
58,901,1066,0.0,spatial
59,893,1059,0.0,spatial
60,896,1044,0.0,spatial
61,928,1072,0.0,spatial
62,926,1054,0.0,spatial
63,768,1035,0.0,spatial
64,762,1041,0.0,spatial
65,1126,1136,0.0,spatial
66,869,887,0.0,spatial
67,914,1143,0.0,spatial
68,1043,1200,0.0,spatial
69,855,1115,0.0,spatial
70,1138,1194,0.0,spatial
71,806,1084,0.0,spatial
72,837,1034,0.0,spatial
73,763,873,0.0,spatial
74,916,1136,0.0,spatial
75,904,1118,0.0,spatial
76,803,1031,0.0,spatial
77,777,1079,0.0,spatial
78,1076,1087,0.0,spatial
79,870,926,0.0,spatial
80,994,1035,0.0,spatial
81,952,1082,0.0,spatial
82,855,1147,0.0,spatial
83,946,1000,0.0,spatial
84,972,1138,0.0,spatial
85,945,1086,0.0,spatial
86,769,990,0.0,spatial
87,899,1003,0.0,spatial
88,801,816,0.0,spatial
89,1061,1072,0.0,spatial
90,1136,1186,0.0,spatial
91,949,1076,0.0,spatial
92,765,1067,0.0,spatial
93,953,1028,0.0,spatial
94,805,1024,0.0,spatial
95,1006,1073,0.0,spatial
96,804,946,0.0,spatial
97,984,1054,0.0,spatial
98,840,1018,0.0,spatial
99,934,935,0.0,spatial
100,838,919,0.0,spatial
101,1147,1199,0.0,spatial
102,961,1075,0.0,spatial
103,801,928,0.0,spatial
104,842,1094,0.0,spatial
105,809,1067,0.0,spatial
106,981,1052,0.0,spatial
107,1136,1174,0.0,spatial
108,1068,1191,0.0,spatial
109,852,956,0.0,spatial
110,1055,1138,0.0,spatial
111,967,1142,0.0,spatial
112,873,1076,0.0,spatial
113,1072,1130,0.0,spatial
114,789,1028,0.0,spatial
115,817,1057,0.0,spatial
116,949,1069,0.0,spatial
117,829,839,0.0,spatial
118,855,1128,0.0,spatial
119,1072,1092,0.0,spatial
120,912,1046,0.0,spatial
121,783,1161,0.0,spatial
122,838,1017,0.0,spatial
123,870,1130,0.0,spatial
124,894,1068,0.0,spatial
125,1042,1100,0.0,spatial
126,785,1072,0.0,spatial
127,867,1144,0.0,spatial
128,899,1046,0.0,spatial
129,1103,1160,0.0,spatial
130,942,1123,0.0,spatial
131,945,1024,0.0,spatial
132,1081,1124,0.0,spatial
133,769,928,0.0,spatial
134,881,1068,0.0,spatial
135,1107,1136,0.0,spatial
136,784,1066,0.0,spatial
137,885,1036,0.0,spatial
138,911,1099,0.0,spatial
139,897,1187,0.0,spatial
140,773,1033,0.0,spatial
141,1072,1085,0.0,spatial
142,1072,1198,0.0,spatial
143,820,1107,0.0,spatial
144,775,1026,0.0,spatial
145,1075,1142,0.0,spatial
146,823,1133,0.0,spatial
147,819,866,0.0,spatial
148,838,1080,0.0,spatial
149,765,1079,0.0,spatial
150,1023,1089,0.0,spatial
151,785,818,0.0,spatial
152,840,869,0.0,spatial
153,816,1044,0.0,spatial
154,786,1072,0.0,spatial
155,985,986,0.0,spatial
156,976,1022,0.0,spatial
157,1139,1205,0.0,spatial
158,1072,1186,0.0,spatial
159,844,1072,0.0,spatial
160,778,1000,0.0,spatial
161,919,1140,0.0,spatial
162,1085,1156,0.0,spatial
163,926,1072,0.0,spatial
164,972,1050,0.0,spatial
165,869,905,0.0,spatial
166,827,1042,0.0,spatial
167,835,1032,0.0,spatial
168,838,1068,0.0,spatial
169,870,1068,0.0,spatial
170,993,1105,0.0,spatial
171,890,1143,0.0,spatial
172,807,1034,0.0,spatial
173,823,1126,0.0,spatial
174,1051,1147,0.0,spatial
175,901,1072,0.0,spatial
176,870,1073,0.0,spatial
177,977,1147,0.0,spatial
178,1018,1025,0.0,spatial
179,905,922,0.0,spatial
180,781,1119,0.0,spatial
181,961,1143,0.0,spatial
182,762,1028,0.0,spatial
183,945,1080,0.0,spatial
