node_id,element_type,guid,length,width,height,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,embedded_door_guid,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid,label_guid
3,Wall,B33A98B1-0BBC-45C8-8971-FDCE8257B394,8.30,0.30,3.20,PAREDE 27cm,0,-6.82,-40.24,-22.7,-4.69,-32.08,-19.5,,,,,,,,,,
4,Wall,9BFF9F72-75C6-4654-849C-78B1A24C36E9,11.25,0.30,3.20,PAREDE 26cm,0,-5.05,-40.24,-22.7,5.99,-37.47,-19.5,,,,,,,,,,
5,Wall,EF4C1341-C3D0-4DA3-B9C4-0E108F08A9A7,8.30,0.25,3.20,PAREDE 27cm,0,4.15,-37.76,-22.7,6.23,-29.61,-19.5,,,,,,,,,,
6,Wall,76314A55-FE52-48CB-A70C-4AB32CBA7505,8.30,0.25,3.20,PAREDE 27cm,0,-1.45,-39.03,-22.7,0.62,-30.88,-19.5,"A92B6E80-AA00-42E8-8BD1-C3CD653EC7A9, 23943BC4-7045-43D9-B897-715F35E443D4",,,,,,,,,
7,Wall,93906AE0-14DB-4804-9300-6CE28AC6A7E2,5.97,0.26,7.20,PAREDE 37cm,0,-38.08,-39.63,0.0,-32.21,-38.06,7.2,7F017037-DE77-4AF9-BEA3-2A8DA1373D83,,,,,,,,,
8,Wall,F44E2D21-9CA5-454C-B8D1-DF07537FD79F,8.79,0.26,11.20,PAREDE 29cm,0,-44.18,-25.5,0.0,-35.55,-23.31,11.2,6E8786D5-41F3-4788-BF77-5F3A557B69C5,,,,,,,,,
9,Wall,0F464C27-F4E7-4704-B9DF-9D9BFCF7B59D,24.38,0.30,3.25,PAREDE 31cm,0,-47.89,-29.87,-3.4,-42.21,-6.03,-0.15,,,,,,,,,,
10,Wall,7E7E82B8-5A58-4BFD-9F5B-6C487C157890,8.00,0.30,3.25,PAREDE 33cm,0,-42.28,-29.81,-3.4,-34.41,-27.75,-0.15,,,,,,,,,,
11,Wall,66C36A74-51B6-428D-90C4-DAA515ACADDD,20.50,0.20,3.25,PAREDE 34cm,0,-28.2,-41.5,-3.4,-23.47,-21.46,-0.15,,,,,,,,,,
12,Wall,F3C2E5E8-9746-4778-9610-7313535F710E,50.75,0.30,3.25,PAREDE 35cm,0,-29.33,-53.02,-3.4,20.23,-41.52,-0.15,,,,,,,,,,
13,Wall,63D94A0F-082E-4390-ADDA-2596A955765B,60.50,0.30,3.25,PAREDE 36cm,0,6.58,-41.88,-3.4,20.23,17.19,-0.15,,,,,,,,,,
14,Wall,09485E20-691D-4547-8BBE-31DF64F1452C,3.91,0.30,3.25,PAREDE 37cm,0,3.06,16.04,-3.4,6.94,17.19,-0.15,,,,,,,,,,
15,Wall,66C042F6-DDBF-4C2E-9D11-4872FAD96085,23.14,0.30,3.25,PAREDE 38cm,0,-18.11,6.71,-3.4,3.18,16.33,-0.15,,,,,,,,,,
16,Wall,BCF3EDF3-D716-44B3-9D00-23D04062D24C,10.12,0.30,3.00,PAREDE 32cm,0,-8.55,-7.2,10.4,1.38,-4.68,13.4,,,,,,,,,,
17,Wall,9B69E77B-5B57-46A4-80D1-160D3978AE0D,10.12,0.30,3.20,PAREDE 32cm,0,-6.34,-16.95,10.4,3.59,-14.43,13.6,,,,,,,,,,
18,Wall,4803989E-132B-49FC-968A-AFBF01CA80E6,10.12,0.30,3.00,PAREDE 32cm,0,-4.13,-26.71,10.4,5.8,-24.18,13.4,,,,,,,,,,
19,Wall,D2837D2D-7F46-4601-B2BE-B9EEBA4924C8,6.38,0.30,3.20,PAREDE 32cm,0,-13.67,-13.49,10.4,-7.38,-11.79,13.6,,,,,,,,,,
20,Wall,854D2C5D-CADB-4A1F-BF78-321AB0DB7A85,8.00,0.30,2.60,PAREDE 31cm,0,-15.88,-3.74,10.4,-8.01,-1.68,13.0,942172D1-594D-4E51-A49C-3CE9215DE030,,,,,,,,,
21,Wall,A7DEDB1F-C31F-4715-ACE9-A86C6225834A,16.50,0.30,3.00,PAREDE 32cm,0,-11.47,-23.24,10.4,4.69,-19.3,13.4,,,,,,,,,,
22,Wall,8BE57F87-EEBC-430B-8A46-A8115DFA4903,10.12,0.30,3.20,PAREDE 32cm,0,-7.45,-12.08,10.4,2.49,-9.55,13.6,,,,,,,,,,
23,Wall,A8905907-A045-4DB8-B46D-2B8F938F5602,8.37,0.30,3.00,PAREDE 33cm,0,-5.74,-11.69,13.6,2.49,-9.55,16.6,,,,,,,,,,
24,Wall,AE30F34F-975B-467D-A465-4AC8D386E8A4,30.30,0.25,3.00,PAREDE 32cm,0,-10.16,-31.7,13.6,-3.23,-2.09,16.6,601AA498-349C-4882-9076-212361C609C1,,,,,,,,,
