node_id,element_type,guid,length,width,height,embedded_door_guid,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid
933,Wall,8BD1D4A5-14F4-8543-AAB8-D94854E2E876,10.54,0.34,3.10,179CBF37-573F-244F-8820-10D1ABCF167F,MURO - 004,1,-56.51,46.81,0.0,-45.97,47.15,3.1,,,,,,,,
934,Wall,1C3725B5-DB3A-FF43-B00F-831690EE4362,3.28,0.10,3.10,,MURO - 004,1,-56.32,47.52,0.0,-56.22,50.8,3.1,,,,,,,,
935,Wall,948A8778-75EA-974C-81B6-4289086D0918,3.96,0.36,3.10,,MURO - 004,1,-45.97,47.15,0.0,-45.61,51.11,3.1,,,,,,,,
936,Wall,D1DF73FE-044D-DB4E-A140-45856BEABE2E,3.59,0.36,3.10,,MURO - 005,1,-49.5,59.04,0.0,-45.91,59.4,3.1,,,,,,,,
937,Wall,700BD31B-26D1-FB4B-BFC3-5A356F81EEEE,0.20,0.44,3.10,,MURO - 005,1,-49.7,58.96,0.0,-49.5,59.4,3.1,,,,,,,,
938,Wall,44CCE742-D1F4-1249-B3AB-137CF0CC8198,0.99,0.40,3.10,,MURO - 007,1,-50.69,58.63,0.0,-49.7,59.03,3.1,,,,,,,,
939,Wall,3067DD08-6BCC-A145-8CF8-5C9F7DF1EF75,0.37,0.15,3.10,,MURO - 004,1,-56.32,47.15,0.0,-56.17,47.52,3.1,,,,,,,,
940,Wall,E9DCA526-BA69-F647-B1D4-E569F395D892,0.87,0.40,3.10,,MURO - 005,1,-56.46,58.16,0.0,-56.06,59.03,3.1,,,,,,,,
941,Wall,35E25EAB-DBD6-0B41-BF4D-5CAFD8B194E6,5.59,0.14,3.00,,MURO - 004,1,-51.14,47.15,0.0,-51.01,52.74,3.0,,,,,,,,
942,Wall,F7A9D49D-4E1F-C84A-8176-B84D93173F0F,4.07,0.10,3.10,E0122797-ADD0-C64C-A11A-B74AF2833976,MURO - 005,1,-50.73,53.11,0.0,-46.66,53.21,3.1,,,,,,,,
943,Wall,59AAD82E-3AE0-BE40-BB08-22B77C992E68,0.75,0.51,3.10,,MURO - 006,1,-46.66,53.11,0.0,-45.91,53.62,3.1,,,,,,,,
944,Wall,F5E3E7BD-3A22-DC4D-BFC3-D72CED3C3DED,1.80,0.10,3.10,2BC22CD8-198B-7743-B53D-B8DDFFC293E1,MURO - 005,1,-48.07,53.11,0.0,-47.97,54.91,3.1,,,,,,,,
