node_id,element_type,guid,length,width,height,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,embedded_door_guid,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid
4752,Wall,55CBB160-7CB3-4B98-9AD0-0DF3385AC5ED,54.50,0.34,4.13,SW - 008,0,-160.37,-131.96,-6.22,-153.09,-77.86,-2.09,,,,,,,,,
4753,Wall,86AFEC10-1DAB-48B0-A87B-3E48F4372BC0,36.00,0.34,2.92,SW - 009,0,-153.55,-131.96,-6.22,-119.73,-119.0,-3.3,,,,,,,,,
4754,Wall,8B455A50-3E7F-404F-B21C-49C2AF3106B6,60.01,0.34,2.92,SW - 010,0,-119.86,-119.33,-6.22,-64.29,-96.04,-3.3,,,,,,,,,
4755,Wall,29491E3A-B919-431F-B54C-EB2E00221A34,17.00,0.34,2.92,SW - 011,0,-64.41,-96.36,-6.22,-48.42,-89.92,-3.3,,,,,,,,,
4756,Wall,3BFC429C-971D-47B8-B64F-22D5387F780E,34.00,0.30,4.00,SW - 012,0,-51.83,-90.27,-6.22,-48.42,-56.38,-2.22,,,,,,,,,
4757,Wall,635D3F96-73BC-4801-9E1C-F0EEFE4DB1F4,56.51,0.30,4.00,SW - 013,0,-106.59,-69.42,-6.22,-51.46,-56.38,-2.22,,,,,,,,,
4758,Wall,7899CD10-8FD6-4864-BA48-F134B616D66A,54.49,0.34,4.13,SW - 014,0,-160.37,-78.24,-6.22,-106.53,-69.13,-2.09,,,,,,,,,
4759,Wall,062F31B9-04D8-4F76-8D9A-869CF905F4CA,37.10,0.30,3.85,SW - 093,1,-63.0,10.95,-7.15,-25.9,11.25,-3.3,,,,,,,,,
4760,Wall,17027C25-2E07-4AAE-95CE-502111A287D6,42.22,0.35,3.85,SW - 093,1,-25.9,10.9,-7.15,16.32,11.25,-3.3,,,,,,,,,
4761,Wall,D6243B1A-B1D2-4F35-AD8D-00269A020488,32.50,0.35,3.35,SW - 093,0,8.85,-20.51,-7.15,16.36,11.27,-3.8,,,,,,,,,
4762,Wall,7DEF754E-6CF4-4C87-A607-A37858D057E4,37.00,0.30,3.35,SW - 093,1,-62.9,-50.0,-7.15,-25.9,-49.7,-3.8,,,,,,,,,
