node_id,element_type,guid,length,width,height,embedded_door_guid,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,embedded_in_wall_guid
230,Wall,A7DC1D5B-1D0B-7241-9698-BD84B31FADDA,5.46,0.20,4.65,30473EC4-6EC6-6144-A05A-7744B225CAC4,SW - 044,0,19.03,10.55,0.0,19.23,16.01,4.65,,,,,,,
231,Wall,930CD0E6-2C96-CD4B-BF03-0E23D1506B58,5.10,0.15,5.00,,SW - 044,0,13.03,14.96,0.0,18.13,15.11,5.0,,,,,,,
232,Wall,7C34E5AE-2A0E-964D-9D7D-CFD562F9E5F1,1.05,0.15,2.95,CC67AD75-5217-5B49-B867-A3674359E3C2,SW - 042,0,12.88,15.11,78.85,13.03,16.16,81.8,,,,,,,
233,Wall,10EE15A5-F98B-E440-BFB4-889BD37E55F6,9.70,0.15,2.80,,SW - 043,0,10.63,13.91,79.0,20.33,14.06,81.8,,,,,,,
234,Wall,C473BA0E-B3D5-5C4A-8F44-0D49CDFE38F1,1.05,0.15,2.80,,SW - 044,0,18.03,15.11,79.0,18.18,16.16,81.8,,,,,,,
235,Wall,8F4A6E9F-9A98-A443-976A-D1836D4C1339,5.00,0.15,2.80,,SW - 042,0,13.03,16.01,79.0,18.03,16.16,81.8,,,,,,,
236,Wall,CB381FCB-1F4C-EA4A-8D69-EC07E69A1814,1.20,0.10,5.00,,SW - 042,0,19.23,12.13,0.0,20.43,12.23,5.0,,,,,,,
237,Wall,8DFD7302-7A94-F84A-8B45-D27C6B4113A9,2.53,0.10,5.00,5B9776F2-D2D6-7D4E-B2F2-ADE84D58830A,SW - 043,0,20.33,12.13,0.0,20.43,14.66,5.0,,,,,,,
238,Wall,E19C176B-6519-7E4B-BF89-63C9DBA0C7D5,1.55,0.15,4.25,474A8DBC-FE3F-AB42-A4EF-CB208C03D453,SW - 044,0,17.68,12.13,0.0,19.23,12.28,4.25,,,,,,,
239,Wall,CDEEA9D2-092B-CF4C-B9A7-3CA970BF3BD1,1.55,0.15,4.25,A7EE6546-FF17-F942-A8D5-ABA8EBEA1330,SW - 044,0,11.83,12.13,0.0,13.38,12.28,4.25,,,,,,,
240,Wall,F0805340-91BE-DD46-8609-F133B3BA76DE,1.20,0.10,4.03,,SW - 043,0,19.23,14.56,0.0,20.43,14.66,4.03,,,,,,,
241,Wall,77A6326C-7C9A-2944-B2E0-F61CB90F674E,1.55,0.15,4.25,,SW - 044,0,11.83,13.91,0.0,13.38,14.06,4.25,,,,,,,
