node_id,element_type,guid,length,width,height,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,embedded_door_guid,marker_guid,embedded_in_wall_guid
183,Wall,34129BF2-A21B-134C-BAC1-4CDE4918D2F1,6.10,0.20,1.21,"8"" CONCRETE RETAINING WALL",1,2.13,12.06,-2.01,2.34,18.16,-0.8,,,
184,Wall,014C05B9-CF8D-8B41-A988-7E349E6F0B4E,5.82,0.20,1.22,"8"" CONCRETE RETAINING WALL",1,-3.49,17.97,-2.36,2.32,18.17,-1.14,,,
185,Wall,2C1B51BF-B3F0-B04C-8019-67B42F18E0B4,2.59,0.20,1.22,"8"" CONCRETE RETAINING WALL",0,-5.51,17.97,-2.36,-3.49,19.99,-1.14,,,
186,Wall,61C921F5-EDBC-B44E-8FD0-4A5BE9001BC3,0.94,0.20,1.22,"8"" CONCRETE RETAINING WALL",1,-5.51,19.99,-2.36,-5.31,20.93,-1.14,,,
187,Wall,F8098720-1753-7542-A96B-575B27C96584,3.66,0.20,1.22,"8"" CONCRETE RETAINING WALL",1,-8.98,20.74,-2.36,-5.32,20.94,-1.14,,,
188,Wall,0C84C426-3585-8545-948D-BF5E24823619,13.11,0.20,1.56,"8"" CONCRETE RETAINING WALL",1,-8.98,7.82,-2.36,-8.78,20.93,-0.8,,,
189,Wall,0D6E2B26-D6AC-C84C-9A8D-C8396610289A,3.64,0.20,1.56,"8"" CONCRETE RETAINING WALL",1,-8.97,7.81,-2.36,-5.32,8.01,-0.8,,,
190,Wall,7EA65EF5-D16D-7349-9C64-413591A76B6D,2.41,0.20,1.56,"8"" CONCRETE RETAINING WALL",0,-5.51,7.82,-2.36,-5.31,10.24,-0.8,,,
191,Wall,D46C1C18-DECE-E246-AC33-849075B0067D,2.59,0.20,1.22,"8"" CONCRETE RETAINING WALL",1,-5.51,10.24,-2.02,-3.49,12.25,-0.8,,,
192,Wall,F0035315-EABA-2C47-9801-C10B974ECCF7,2.53,0.10,2.44,Wall-013,1,-27.44,4.93,0.0,-24.92,5.03,2.44,,,
193,Wall,07D5C99B-1B98-EE46-91A5-33FABE798A3A,1.75,0.10,2.44,Wall-015,0,-27.44,4.93,0.0,-27.34,6.68,2.44,C97DF2E9-8C0B-3E44-AFB6-83DCA478725E,,
194,Wall,92FD39D6-0E0A-E64C-9BE7-22BA6E301096,2.53,0.10,2.44,Wall-015,1,-27.44,6.58,0.0,-24.92,6.68,2.44,3F961426-5E9D-804C-AB38-F19F96814A30,,
195,Wall,DFD6223F-76F6-FC45-BCE2-C2869A5A6DE3,2.67,0.20,1.56,"8"" CONCRETE RETAINING WALL",1,-3.49,12.05,-2.36,-0.83,12.25,-0.8,,,
196,Wall,7513D687-86AE-2B4C-B255-4885ECCCA91C,5.16,0.10,3.05,"2X4 INTERIOR WALL W/ 1/2"" GYP.",0,-26.76,-4.67,0.0,-21.6,-4.57,3.05,"90F635DE-0144-CB42-8D96-18D99C0563D5, 4D7C42AF-61BA-9748-B7AB-F1593E51A775, 11116BE9-1667-F145-A034-4FBA46FE90F4, 1E129B0C-77F1-1547-B368-2ECC57A3BC47",,
197,Wall,84FC47EB-8A0F-1A4C-96FA-E2FD742851E5,5.16,0.17,3.05,"2X6 INTERIOR WALL W/ 1/2"" GYP.",0,-26.76,-7.13,0.0,-21.6,-6.97,3.05,3C061BCB-6D63-0F46-B029-16B0E60232B9,,
198,Wall,E1B30C70-5F0F-F545-9852-FA405D01BB3C,6.38,0.17,3.05,"6.5"" SIPS EXTERIOR WALL",1,-26.76,-3.02,0.0,-20.38,-2.85,3.05,B8D61A71-DD61-464F-AC2D-2B4721BE4FE9,,
199,Wall,8B194AF1-2C1B-7F4F-8A2F-54C5E0F53049,1.32,0.17,3.05,"8"" SIPS EXTERIOR WALL",1,-20.55,-4.17,0.0,-20.38,-2.85,3.05,,,
200,Wall,3AC6FF87-6282-364F-A105-D5D536DF44CA,2.44,0.17,3.05,"8"" SIPS EXTERIOR WALL",0,-23.41,-3.59,0.0,-20.97,-3.42,3.05,,,
201,Wall,A7E22F49-E854-AC4B-82EB-FB557468E84B,2.53,0.10,2.44,Wall-013,0,-27.44,4.93,0.0,-24.92,5.03,2.44,,,
202,Wall,0F52A8A4-723D-904C-AB36-EE73BF630DBF,1.75,0.10,2.44,Wall-015,0,-27.44,4.93,0.0,-27.34,6.68,2.44,D6782422-DD65-104A-8CE4-3FCCFD07B36A,,
203,Wall,CBC4C491-1B6C-3347-99F4-F715C07BEACF,2.53,0.10,2.44,Wall-015,0,-27.44,6.58,0.0,-24.92,6.68,2.44,D3F98B8B-A447-A341-8ABE-43CE8398B43B,,
204,Wall,163E7C7F-B4D1-E548-B837-A1ED927B660A,5.16,0.10,3.05,"2X4 INTERIOR FURRING WALL W/ 1/2"" GYP.",0,-26.76,-5.8,0.0,-21.6,-5.7,3.05,,,
205,Wall,822D14C5-889C-4213-BBC4-8A4D3C3CA390,4.94,0.17,1.52,"6.3"" SIPS EXTERIOR WALL",0,0.57,-3.33,2.74,5.28,-1.5,4.27,,,
206,Wall,87AF9177-0384-49E3-B6C9-CF24ADE4D9B4,4.94,0.17,1.52,"6.3"" SIPS EXTERIOR WALL",0,0.28,-2.27,2.74,5.14,-1.05,4.27,,,
207,Wall,E15E45E1-0EC0-4896-A30F-5827D8B0CD5F,5.11,0.17,1.52,"6.3"" SIPS EXTERIOR WALL",0,-0.97,-2.14,2.74,0.28,2.88,4.27,,,
208,Wall,83200B85-825E-4B49-AC3F-7BE24BDC8A12,5.11,0.17,1.22,"6.3"" SIPS EXTERIOR WALL",0,-1.41,-2.3,3.05,-0.82,2.8,4.27,,,
209,Wall,D530B097-29BD-42DF-99F0-6E3792B6EDE7,0.30,0.05,0.32,"6.5"" SIPS EXTERIOR WALL",0,-1.23,2.6,4.27,-0.93,2.7,4.58,,,
210,Wall,937144F7-7682-46A3-BD91-E397CCCD4B4B,5.11,0.05,0.32,"6.6"" SIPS EXTERIOR WALL",0,-0.98,-2.31,4.27,0.15,2.7,4.58,,,
211,Wall,9673C5F9-001B-4AA8-96D6-FFF518251CFB,5.11,0.05,0.32,"6.7"" SIPS EXTERIOR WALL",0,0.15,-2.35,4.27,5.16,-1.21,4.58,,,
212,Wall,9A16D21B-377B-475B-A6ED-A5DC524DD7B7,0.30,0.05,0.32,"6.8"" SIPS EXTERIOR WALL",0,5.1,-1.51,4.27,5.23,-1.21,4.58,,,
213,Wall,59C8AAD2-DFAF-4996-BE15-D6F717F3B872,4.87,0.05,0.32,"6.9"" SIPS EXTERIOR WALL",0,0.63,-3.15,4.27,5.23,-1.45,4.58,,,
214,Wall,8C7247E2-1501-4143-85B1-0F6108189B17,1.75,0.05,0.32,"6.0"" SIPS EXTERIOR WALL",0,-0.82,-3.15,4.27,0.68,-2.16,4.58,,,
215,Wall,089E2458-0A68-49F5-B835-E64F96B1274F,4.87,0.05,0.32,"6.1"" SIPS EXTERIOR WALL",0,-1.23,-2.2,4.27,-0.77,2.66,4.58,,,
216,Wall,E799D314-3469-473D-AB95-A8443E3FC72D,1.70,0.10,0.15,"6.2"" SIPS EXTERIOR WALL",0,-6.91,-3.61,3.26,-5.53,-2.45,3.42,,,
217,Wall,AB059D00-9F49-45DD-B6A1-5ACD602701E4,4.95,0.10,0.15,"6.3"" SIPS EXTERIOR WALL",0,-6.95,-2.53,3.26,-6.81,2.42,3.42,,,
218,Wall,06FC1D4D-41D4-4087-A85C-CE81227CBD38,5.55,0.10,0.15,"6.4"" SIPS EXTERIOR WALL",0,-6.95,2.31,3.26,-1.41,2.94,3.42,,,
219,Wall,F3FB0681-26ED-4316-AF9B-8925A70C1659,5.26,0.10,0.15,"6.5"" SIPS EXTERIOR WALL",0,4.2,-1.01,2.96,5.42,4.15,3.11,,,
220,Wall,BDFAA4C3-A20A-4A77-9BF1-0AFFFF2962DD,5.26,0.10,0.15,"6.6"" SIPS EXTERIOR WALL",0,-0.84,2.93,2.96,4.32,4.15,3.11,,,
221,Wall,4E8DB429-853B-496D-B709-D2A4298AB52D,4.95,0.10,0.15,"6.7"" SIPS EXTERIOR WALL",0,2.84,-8.82,2.96,7.4,-6.7,3.11,,,
222,Wall,2DECE46D-A0F6-4859-9036-52D8775FFCEF,1.70,0.10,0.15,"6.8"" SIPS EXTERIOR WALL",0,1.35,-8.82,2.96,2.92,-7.99,3.11,,,
223,Wall,B62F0261-BC9B-4B17-B17F-6C00E525E8A9,4.80,0.10,0.15,"6.9"" SIPS EXTERIOR WALL",0,0.18,-8.08,2.96,1.45,-3.4,3.11,,,
224,Wall,7FA3E4C2-013F-4B11-BCB9-9062D24A00D2,5.55,0.10,0.15,"6.0"" SIPS EXTERIOR WALL",0,5.48,-6.83,2.96,7.4,-1.55,3.11,,,
225,Wall,FACA51CB-4929-4580-B0C9-81D8C10A1DE2,4.80,0.10,0.15,"6.2"" SIPS EXTERIOR WALL",0,-5.62,-3.61,3.26,-0.88,-2.65,3.42,,,
226,Wall,9BCCBF0F-B716-4FB1-AE65-29E39A763F81,0.41,0.10,0.15,"6.2"" SIPS EXTERIOR WALL",0,-1.02,-2.76,3.26,-0.88,-2.34,3.42,,,
227,Wall,8E697ED7-38F4-4830-85A9-33959B1D4F3F,0.23,0.10,0.15,"6.4"" SIPS EXTERIOR WALL",0,-1.52,2.7,3.26,-1.4,2.94,3.42,,,
228,Wall,1C86626D-B48F-4FAD-9C40-E334B37294A0,0.06,0.17,0.39,"6.0"" SIPS EXTERIOR WALL",0,0.61,-3.33,-1.22,0.78,-3.22,-0.83,,,
229,Wall,57CB7471-6EA6-4F3D-A994-EB2B054C28CC,0.41,0.10,0.15,"6.9"" SIPS EXTERIOR WALL",0,0.18,-3.52,2.96,0.6,-3.29,3.11,,,
230,Wall,834A231B-A751-441A-9889-6212D93531CD,0.32,0.10,0.15,"6.0"" SIPS EXTERIOR WALL",0,5.28,-1.76,2.96,5.61,-1.55,3.11,,,
231,Wall,A294B73A-DCBB-4F6B-A6C8-802DCAC46DC9,0.32,0.10,0.15,"6.1"" SIPS EXTERIOR WALL",0,5.09,-1.05,2.96,5.42,-0.89,3.11,,,
232,Wall,C0599760-4291-4431-B78B-E2DC312E78AE,0.22,0.10,0.15,"6.6"" SIPS EXTERIOR WALL",0,-0.84,2.82,2.96,-0.69,3.05,3.11,,,
233,Wall,28A9C6B1-021C-46F2-AAF9-C36ACB58922A,0.01,0.17,3.05,"6.5"" SIPS EXTERIOR WALL",0,-1.41,2.63,0.0,-1.37,2.79,3.05,,,
234,Wall,1F4F50C8-8CFD-4721-8714-2383F5C9EFE5,0.01,0.17,4.88,"6.5"" SIPS EXTERIOR WALL",0,-1.41,2.63,-0.61,-1.38,2.79,4.27,,,
235,Wall,1A05ADFC-3AA5-4028-97F5-E37B7D074358,0.62,0.17,0.61,"6.4"" SIPS EXTERIOR WALL",0,-1.15,-2.31,-0.83,-0.92,-1.67,-0.22,,,
236,Wall,30907ED7-D04E-4BDE-A1D8-4E5B94F7C6A4,0.00,0.17,3.35,"6.9"" SIPS EXTERIOR WALL",0,5.11,-1.05,-0.61,5.27,-1.01,2.74,,,
237,Wall,508BC1B2-9AAB-41A9-BE3B-A537DF104876,0.01,0.17,4.97,"6.9"" SIPS EXTERIOR WALL",0,5.28,-1.66,-0.61,5.44,-1.6,4.36,,,
238,Wall,7E69AE8A-0C9A-4D75-BF81-B8E09FA612AB,0.28,0.17,0.61,"6.1"" SIPS EXTERIOR WALL",0,0.95,-3.13,-1.44,1.2,-2.81,-0.83,,,
239,Wall,F962B384-D82F-4104-96B1-54F5B43CC64A,0.28,0.17,0.61,"6.0"" SIPS EXTERIOR WALL",0,2.07,-2.74,-1.44,2.31,-2.42,-0.83,,,
240,Wall,99DFC3A6-B900-4C6E-91A8-CB644D35A3D4,5.11,0.17,5.44,"6.1"" SIPS EXTERIOR WALL",0,2.23,-8.1,-1.22,7.11,-6.27,4.22,,,
241,Wall,E28ACDDB-1555-487A-AF1D-48E1DD051A1C,0.53,0.02,0.93,"6.9"" SIPS EXTERIOR WALL",0,2.3,0.88,-0.61,2.83,1.02,0.32,,,
242,Wall,6A63EEAD-F021-4C2E-BC5B-D5EADCEC7A09,1.68,0.02,0.93,"6.0"" SIPS EXTERIOR WALL",0,1.95,0.88,-0.61,2.33,2.53,0.32,,,
243,Wall,A76A9F57-BD4E-4F18-84E3-472C0DCADBBA,1.68,0.02,0.93,"6.8"" SIPS EXTERIOR WALL",0,2.45,0.99,-0.61,2.83,2.63,0.32,,,
244,Wall,B0F64546-8A62-4A7C-95B6-2B01772649E1,0.51,0.02,0.93,"6.7"" SIPS EXTERIOR WALL",0,1.95,2.5,-0.61,2.46,2.63,0.32,,,
245,Wall,CFA09140-2FCD-49F6-BC89-F40A3BB5642D,0.43,0.17,0.61,"6.5"" SIPS EXTERIOR WALL",0,-1.53,-0.7,-0.83,-1.08,-0.5,-0.22,,,
246,Wall,7E4D75F6-A14E-476D-A972-A9E835592D14,0.43,0.17,0.61,"6.4"" SIPS EXTERIOR WALL",0,-1.42,-1.88,-0.83,-0.97,-1.67,-0.22,,,
247,Wall,FB0DB292-A739-4B8A-8D69-D3626B796026,1.35,0.17,0.61,"6.4"" SIPS EXTERIOR WALL",0,-1.54,-1.88,-0.83,-1.25,-0.52,-0.22,,,
248,Wall,DBE36418-3F5C-41FA-98B1-46C7F3FF6C71,3.47,0.17,0.61,"6.4"" SIPS EXTERIOR WALL",0,-1.57,-0.68,-0.83,-1.08,2.79,-0.22,,,
249,Wall,0890157F-8ABC-4499-A26B-02D9DEB757CB,1.02,0.17,0.61,"6.0"" SIPS EXTERIOR WALL",0,1.05,-2.81,-1.44,2.07,-2.32,-0.83,,,
250,Wall,1945DE3F-567E-47A1-BDF1-CB93C388FADB,0.62,0.17,0.61,"6.0"" SIPS EXTERIOR WALL",0,0.56,-3.28,-1.44,1.2,-2.92,-0.83,,,
251,Wall,96F71AC3-C428-41D8-9A55-CB1B229E8A00,1.64,0.10,2.44,Wall-015,0,-4.16,0.73,0.0,-3.9,2.37,2.44,,,
252,Wall,AF365BC0-FD1F-4F69-B2B5-C90610B335FF,4.94,0.10,2.44,Wall-015,0,-6.33,0.51,0.0,-1.4,1.08,2.44,D141368E-F7D2-4247-A554-84CF49975B89,,
253,Wall,234BF736-8874-45AE-ACF7-797F0F713943,1.64,0.10,2.44,Wall-015,0,-1.66,0.97,0.0,-1.4,2.61,2.44,,,
254,Wall,97F7005F-1E35-4163-826E-4F9D39A3851E,4.67,0.10,3.35,"2X4 INTERIOR FURRING WALL W/ 1/2"" GYP.",0,3.94,-0.82,-0.61,5.04,3.77,2.74,,,
255,Wall,692AF684-24D1-439C-88A0-700E2F6F615D,3.47,0.17,0.61,"6.0"" SIPS EXTERIOR WALL",0,2.1,-2.74,-1.44,5.43,-1.45,-0.83,,,
256,Wall,97FEF1A2-160F-45F0-A95B-AB20663B09BA,5.11,0.17,3.05,"6.5"" SIPS EXTERIOR WALL",0,-6.49,-2.78,0.0,-5.84,2.32,3.05,,,
257,Wall,E48EBB47-55F0-435A-ABB3-A720B337207D,5.05,0.17,3.05,"6.4"" SIPS EXTERIOR WALL",0,-6.02,-2.78,0.0,-0.98,-2.13,3.05,,,
258,Wall,FC5B0FA8-BCEA-4417-AF35-B5A7763E37CA,1.91,0.17,4.88,"6.3"" SIPS EXTERIOR WALL",0,-0.98,-3.33,-0.61,0.72,-2.16,4.27,756C59B7-A4BB-437A-93DF-67342FC361D2,,
