node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,width,height,embedded_door_guid,label_type,zone_stamp_guid,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid
0,DimNode 0,38F9AE11-CE4E-E34C-932A-72E7FA961E35,233B8537-DA87-8A40-AB9D-34D014D7BA92,0,0.00,-56.36,57.52,Dim Node 0,-56.36,57.51,0.0,-56.35,57.52,0.0,,,,,,,,,,
1,DimNode 1,38F9AE11-CE4E-E34C-932A-72E7FA961E35,A421DF6F-0D0E-7443-B749-06FA369AD89E,85,0.85,-55.51,57.52,Dim Node 1,-55.51,57.51,0.0,-55.5,57.52,0.0,,,,,,,,,,
2,DimNode 2,38F9AE11-CE4E-E34C-932A-72E7FA961E35,A421DF6F-0D0E-7443-B749-06FA369AD89E,79,0.79,-54.72,57.52,Dim Node 2,-54.72,57.51,0.0,-54.71,57.52,0.0,,,,,,,,,,
3,Dimension,38F9AE11-CE4E-E34C-932A-72E7FA961E35,,,1.64,,,Dim 1,-56.38,57.47,0.0,-54.69,57.56,0.0,,,,,,,,,,
4,DimNode 3,3C851B98-4695-464A-B427-F6DC114C1159,3A0BA438-96B3-444B-A62E-BAD49F10D127,0,0.00,-49.7,58.63,Dim Node 3,-49.71,58.63,0.0,-49.7,58.64,0.0,,,,,,,,,,
5,DimNode 4,3C851B98-4695-464A-B427-F6DC114C1159,5363BBC1-9DDE-C444-B688-FAD2F476A8A4,41,0.41,-49.3,58.63,Dim Node 4,-49.3,58.63,0.0,-49.29,58.64,0.0,,,,,,,,,,
6,DimNode 5,3C851B98-4695-464A-B427-F6DC114C1159,96AB3576-499C-2341-819B-C12609C41C17,99,0.99,-48.31,58.63,Dim Node 5,-48.31,58.63,0.0,-48.3,58.64,0.0,,,,,,,,,,
7,DimNode 6,3C851B98-4695-464A-B427-F6DC114C1159,19641497-D9D8-5148-984B-94EFE312FC99,160,1.60,-46.71,58.63,Dim Node 6,-46.72,58.63,0.0,-46.71,58.64,0.0,,,,,,,,,,
8,DimNode 7,3C851B98-4695-464A-B427-F6DC114C1159,69F416C5-0983-8147-B19D-2C7F4B0D5212,71,0.71,-46.0,58.63,Dim Node 7,-46.01,58.63,0.0,-46.0,58.64,0.0,,,,,,,,,,
9,Dimension,3C851B98-4695-464A-B427-F6DC114C1159,,,3.70,,,Dim 2,-49.74,58.59,0.0,-45.96,58.68,0.0,,,,,,,,,,
10,DimNode 8,C7263E3D-5C44-9A4A-9DEF-97131087D7EA,00E95F36-5BD6-234E-A7F8-AB5AAA015F89,0,0.00,-56.22,51.51,Dim Node 8,-56.23,51.5,0.0,-56.22,51.51,0.0,,,,,,,,,,
11,DimNode 9,C7263E3D-5C44-9A4A-9DEF-97131087D7EA,DC0759B5-F0FB-534A-ABAD-38FC39C2DC87,19,0.19,-56.03,51.51,Dim Node 9,-56.04,51.5,0.0,-56.03,51.51,0.0,,,,,,,,,,
12,Dimension,C7263E3D-5C44-9A4A-9DEF-97131087D7EA,,,0.19,,,Dim 3,-56.25,51.46,0.0,-56.01,51.56,0.0,,,,,,,,,,
13,DimNode 10,E0715CC7-EAAD-3249-BC2B-26BF8F92028A,59AAD82E-3AE0-BE40-BB08-22B77C992E68,0,0.00,-46.9,53.62,Dim Node 10,-46.91,53.61,0.0,-46.9,53.62,0.0,,,,,,,,,,
14,DimNode 11,E0715CC7-EAAD-3249-BC2B-26BF8F92028A,6AC2C88D-FE54-2F44-A3DF-813CEC0CF66D,129,1.29,-46.9,54.91,Dim Node 11,-46.91,54.9,0.0,-46.9,54.91,0.0,,,,,,,,,,
15,Dimension,E0715CC7-EAAD-3249-BC2B-26BF8F92028A,,,1.29,,,Dim 4,-46.95,53.59,0.0,-46.86,54.93,0.0,,,,,,,,,,
16,DimNode 12,162FC859-3008-AC40-A86B-B9DD67B84723,F5E3E7BD-3A22-DC4D-BFC3-D72CED3C3DED,0,0.00,-47.87,53.21,Dim Node 12,-47.87,53.2,0.0,-47.86,53.21,0.0,,,,,,,,,,
17,DimNode 13,162FC859-3008-AC40-A86B-B9DD67B84723,00000000-0000-0000-0000-000000000000,44,0.44,-47.87,53.65,Dim Node 13,-47.87,53.64,0.0,-47.86,53.65,0.0,,,,,,,,,,
18,DimNode 14,162FC859-3008-AC40-A86B-B9DD67B84723,00000000-0000-0000-0000-000000000000,59,0.59,-47.87,54.24,Dim Node 14,-47.87,54.23,0.0,-47.86,54.24,0.0,,,,,,,,,,
19,DimNode 15,162FC859-3008-AC40-A86B-B9DD67B84723,6AC2C88D-FE54-2F44-A3DF-813CEC0CF66D,67,0.67,-47.87,54.91,Dim Node 15,-47.87,54.9,0.0,-47.86,54.91,0.0,,,,,,,,,,
20,Dimension,162FC859-3008-AC40-A86B-B9DD67B84723,,,1.70,,,Dim 5,-47.91,53.18,0.0,-47.82,54.93,0.0,,,,,,,,,,
21,DimNode 16,B7E7304D-51D3-9C43-932A-B101676B513E,6AC2C88D-FE54-2F44-A3DF-813CEC0CF66D,0,0.00,-48.07,55.15,Dim Node 16,-48.07,55.15,0.0,-48.06,55.16,0.0,,,,,,,,,,
22,DimNode 17,B7E7304D-51D3-9C43-932A-B101676B513E,00000000-0000-0000-0000-000000000000,216,2.16,-45.91,55.15,Dim Node 17,-45.92,55.15,0.0,-45.91,55.16,0.0,,,,,,,,,,
23,Dimension,B7E7304D-51D3-9C43-932A-B101676B513E,,,2.16,,,Dim 6,-48.09,55.1,0.0,-45.89,55.2,0.0,,,,,,,,,,
24,DimNode 18,420110E2-B6FC-5D49-B98C-94B987A8BC10,F5E3E7BD-3A22-DC4D-BFC3-D72CED3C3DED,0,0.00,-47.67,53.21,Dim Node 18,-47.67,53.2,0.0,-47.66,53.21,0.0,,,,,,,,,,
25,DimNode 19,420110E2-B6FC-5D49-B98C-94B987A8BC10,6AC2C88D-FE54-2F44-A3DF-813CEC0CF66D,170,1.70,-47.67,54.91,Dim Node 19,-47.67,54.9,0.0,-47.66,54.91,0.0,,,,,,,,,,
26,Dimension,420110E2-B6FC-5D49-B98C-94B987A8BC10,,,1.70,,,Dim 7,-47.71,53.18,0.0,-47.62,54.93,0.0,,,,,,,,,,
27,DimNode 20,1FA98821-8AA0-A14A-84A2-9FD537899249,323D9DF6-4112-5943-96AA-531F56536031,0,0.00,-50.78,53.39,Dim Node 20,-50.79,53.39,0.0,-50.78,53.4,0.0,,,,,,,,,,
28,DimNode 21,1FA98821-8AA0-A14A-84A2-9FD537899249,E0122797-ADD0-C64C-A11A-B74AF2833976,33,0.33,-50.45,53.39,Dim Node 21,-50.45,53.39,0.0,-50.44,53.4,0.0,,,,,,,,,,
29,DimNode 22,1FA98821-8AA0-A14A-84A2-9FD537899249,E0122797-ADD0-C64C-A11A-B74AF2833976,102,1.02,-49.43,53.39,Dim Node 22,-49.44,53.39,0.0,-49.43,53.4,0.0,,,,,,,,,,
30,DimNode 23,1FA98821-8AA0-A14A-84A2-9FD537899249,F5E3E7BD-3A22-DC4D-BFC3-D72CED3C3DED,137,1.37,-48.07,53.39,Dim Node 23,-48.07,53.39,0.0,-48.06,53.4,0.0,,,,,,,,,,
31,Dimension,1FA98821-8AA0-A14A-84A2-9FD537899249,,,2.71,,,Dim 8,-50.81,53.35,0.0,-48.04,53.44,0.0,,,,,,,,,,
32,DimNode 24,7918D8D8-DD67-A64F-9F7C-105DCCDACB01,6AC2C88D-FE54-2F44-A3DF-813CEC0CF66D,0,0.00,-46.55,55.01,Dim Node 24,-46.56,55.0,0.0,-46.55,55.01,0.0,,,,,,,,,,
33,DimNode 25,7918D8D8-DD67-A64F-9F7C-105DCCDACB01,69F416C5-0983-8147-B19D-2C7F4B0D5212,403,4.03,-46.55,59.04,Dim Node 25,-46.56,59.03,0.0,-46.55,59.04,0.0,,,,,,,,,,
34,Dimension,7918D8D8-DD67-A64F-9F7C-105DCCDACB01,,,4.03,,,Dim 9,-46.6,54.98,0.0,-46.51,59.06,0.0,,,,,,,,,,
35,DimNode 26,885A0B40-F18E-4C46-83F0-927B22B52F2A,69F416C5-0983-8147-B19D-2C7F4B0D5212,0,0.00,-46.1,58.96,Dim Node 26,-46.11,58.95,0.0,-46.1,58.96,0.0,,,,,,,,,,
