node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,width,height,label_type,embedded_door_guid,zone_stamp_guid,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid
0,DimNode 0,9F5AF870-D768-7B46-BCEF-04960038BEEE,00000000-0000-0000-0000-000000000000,0,0.00,2.58,5.64,Dim Node 0,2.58,5.64,0.0,2.59,5.65,0.0,,,,,,,,,,
1,DimNode 1,9F5AF870-D768-7B46-BCEF-04960038BEEE,00000000-0000-0000-0000-000000000000,157,1.57,1.02,5.64,Dim Node 1,1.01,5.64,0.0,1.02,5.65,0.0,,,,,,,,,,
2,Dimension,9F5AF870-D768-7B46-BCEF-04960038BEEE,,,1.57,,,Dim 1,0.96,5.57,0.0,2.64,5.71,0.0,,,,,,,,,,
3,DimNode 2,B2BA6612-734B-8646-92F7-DA35D4998ECA,50C5E86F-5F23-F847-B0CA-A856FF6A8757,0,0.00,8.5,7.48,Dim Node 2,8.5,7.48,0.0,8.51,7.49,0.0,,,,,,,,,,
4,DimNode 3,B2BA6612-734B-8646-92F7-DA35D4998ECA,7C478C51-7E78-EC49-BB54-700615E8BF91,205,2.05,8.5,9.54,Dim Node 3,8.5,9.53,0.0,8.51,9.54,0.0,,,,,,,,,,
5,DimNode 4,B2BA6612-734B-8646-92F7-DA35D4998ECA,7C478C51-7E78-EC49-BB54-700615E8BF91,85,0.85,8.5,10.39,Dim Node 4,8.5,10.38,0.0,8.51,10.39,0.0,,,,,,,,,,
6,DimNode 5,B2BA6612-734B-8646-92F7-DA35D4998ECA,50C5E86F-5F23-F847-B0CA-A856FF6A8757,28,0.28,8.5,10.66,Dim Node 5,8.5,10.66,0.0,8.51,10.67,0.0,,,,,,,,,,
7,Dimension,B2BA6612-734B-8646-92F7-DA35D4998ECA,,,3.18,,,Dim 2,8.46,7.45,0.0,8.54,10.69,0.0,,,,,,,,,,
8,DimNode 6,E9870CBD-5D73-E94B-B29C-18EC3F6CC7D6,1DD8A67E-3E3E-9349-AC80-6447CAD5C918,0,0.00,7.3,11.16,Dim Node 6,7.29,11.16,0.0,7.3,11.17,0.0,,,,,,,,,,
9,DimNode 7,E9870CBD-5D73-E94B-B29C-18EC3F6CC7D6,507C8162-C570-C04B-8C80-9D09380BBDCF,20,0.20,7.3,11.36,Dim Node 7,7.29,11.35,0.0,7.3,11.36,0.0,,,,,,,,,,
