node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,width,height,label_type,embedded_door_guid,zone_stamp_guid,room_name,room_number,room_height,embedded_in_wall_guid
0,DimNode 0,C25B55C2-EA46-134A-A406-59A30FC7DEC0,C252BF2B-895B-4342-8477-A5B00C1D61E7,0.000,0.00,44.17,-0.15,Dim Node 0,44.16,-0.16,0.0,44.17,-0.14,0.0,,,,,,,,,
1,DimNode 1,C25B55C2-EA46-134A-A406-59A30FC7DEC0,62FBFE50-0C59-E441-9070-82ED4333C30F,4.225,4.23,44.17,-4.38,Dim Node 1,44.16,-4.38,0.0,44.17,-4.37,0.0,,,,,,,,,
2,DimNode 2,C25B55C2-EA46-134A-A406-59A30FC7DEC0,427A07B4-534D-C147-9633-A718D8878009,4.775,4.77,44.17,-9.15,Dim Node 2,44.16,-9.15,0.0,44.17,-9.15,0.0,,,,,,,,,
3,DimNode 3,C25B55C2-EA46-134A-A406-59A30FC7DEC0,E7331A34-B3E4-7946-B0A5-93950F4FE10B,6.700,6.70,44.17,-15.85,Dim Node 3,44.16,-15.85,0.0,44.17,-15.85,0.0,,,,,,,,,
4,DimNode 4,C25B55C2-EA46-134A-A406-59A30FC7DEC0,B0FE5AF8-40AD-BA41-8C87-C4763841FF52,3.575,3.58,44.17,-19.43,Dim Node 4,44.16,-19.43,0.0,44.17,-19.42,0.0,,,,,,,,,
5,DimNode 5,C25B55C2-EA46-134A-A406-59A30FC7DEC0,218CD0E5-8E23-FC4F-B313-8233AA8F7704,4.425,4.43,44.17,-23.85,Dim Node 5,44.16,-23.85,0.0,44.17,-23.84,0.0,,,,,,,,,
6,Dimension,C25B55C2-EA46-134A-A406-59A30FC7DEC0,,,23.70,,,Dim 1,44.07,-23.91,0.0,44.26,-0.09,0.0,,,,,,,,,
7,DimNode 6,D569ADD1-D9E9-EF41-9BB0-D4922AB4812E,C252BF2B-895B-4342-8477-A5B00C1D61E7,"0,000",0.00,43.52,-0.15,Dim Node 6,43.52,-0.16,0.0,43.53,-0.14,0.0,,,,,,,,,
8,DimNode 7,D569ADD1-D9E9-EF41-9BB0-D4922AB4812E,218CD0E5-8E23-FC4F-B313-8233AA8F7704,"23,700",23.70,43.52,-23.85,Dim Node 7,43.52,-23.85,0.0,43.53,-23.84,0.0,,,,,,,,,
9,Dimension,D569ADD1-D9E9-EF41-9BB0-D4922AB4812E,,,23.70,,,Dim 2,43.43,-23.91,7.0,43.61,-0.09,7.0,,,,,,,,,
10,DimNode 8,F27ED350-C2AA-BF41-A1C5-2B0ECE7B3DC4,F8BECCF9-69AE-9F46-8506-83CA71803790,0.000,0.00,46.19,-26.88,Dim Node 8,46.19,-26.88,0.0,46.2,-26.87,0.0,,,,,,,,,
11,DimNode 9,F27ED350-C2AA-BF41-A1C5-2B0ECE7B3DC4,07DF54FB-DECF-F044-8D7C-61A30C3E8E6A,12.200,12.20,58.39,-26.88,Dim Node 9,58.39,-26.88,0.0,58.4,-26.87,0.0,,,,,,,,,
12,Dimension,F27ED350-C2AA-BF41-A1C5-2B0ECE7B3DC4,,,12.20,,,Dim 3,46.13,-26.97,0.0,58.45,-26.78,0.0,,,,,,,,,
13,DimNode 10,27899382-13CF-A148-BBA3-BA1C00F1859B,C252BF2B-895B-4342-8477-A5B00C1D61E7,0.000,0.00,43.52,-0.15,Dim Node 10,43.52,-0.16,0.0,43.53,-0.14,0.0,,,,,,,,,
14,DimNode 11,27899382-13CF-A148-BBA3-BA1C00F1859B,218CD0E5-8E23-FC4F-B313-8233AA8F7704,23.700,23.70,43.52,-23.85,Dim Node 11,43.52,-23.85,0.0,43.53,-23.84,0.0,,,,,,,,,
15,Dimension,27899382-13CF-A148-BBA3-BA1C00F1859B,,,23.70,,,Dim 4,43.43,-23.91,0.0,43.61,-0.09,0.0,,,,,,,,,
16,DimNode 12,3EA28B93-BCFB-FE49-9AC1-2545E2E0BFBD,C252BF2B-895B-4342-8477-A5B00C1D61E7,"0,000",0.00,43.52,-0.15,Dim Node 12,43.52,-0.16,0.0,43.53,-0.14,0.0,,,,,,,,,
17,DimNode 13,3EA28B93-BCFB-FE49-9AC1-2545E2E0BFBD,218CD0E5-8E23-FC4F-B313-8233AA8F7704,"23,700",23.70,43.52,-23.85,Dim Node 13,43.52,-23.85,0.0,43.53,-23.84,0.0,,,,,,,,,
18,Dimension,3EA28B93-BCFB-FE49-9AC1-2545E2E0BFBD,,,23.70,,,Dim 5,43.43,-23.91,3.5,43.61,-0.09,3.5,,,,,,,,,
19,DimNode 14,80879C14-0BB5-7548-9FEE-76C88E879D39,C252BF2B-895B-4342-8477-A5B00C1D61E7,"0,000",0.00,44.17,-0.15,Dim Node 14,44.16,-0.16,0.0,44.17,-0.14,0.0,,,,,,,,,
20,DimNode 15,80879C14-0BB5-7548-9FEE-76C88E879D39,62FBFE50-0C59-E441-9070-82ED4333C30F,"4,225",4.23,44.17,-4.38,Dim Node 15,44.16,-4.38,0.0,44.17,-4.37,0.0,,,,,,,,,
21,DimNode 16,80879C14-0BB5-7548-9FEE-76C88E879D39,427A07B4-534D-C147-9633-A718D8878009,"4,775",4.77,44.17,-9.15,Dim Node 16,44.16,-9.15,0.0,44.17,-9.15,0.0,,,,,,,,,
22,DimNode 17,80879C14-0BB5-7548-9FEE-76C88E879D39,E7331A34-B3E4-7946-B0A5-93950F4FE10B,"6,700",6.70,44.17,-15.85,Dim Node 17,44.16,-15.85,0.0,44.17,-15.85,0.0,,,,,,,,,
23,DimNode 18,80879C14-0BB5-7548-9FEE-76C88E879D39,B0FE5AF8-40AD-BA41-8C87-C4763841FF52,"3,575",3.58,44.17,-19.43,Dim Node 18,44.16,-19.43,0.0,44.17,-19.42,0.0,,,,,,,,,
24,DimNode 19,80879C14-0BB5-7548-9FEE-76C88E879D39,218CD0E5-8E23-FC4F-B313-8233AA8F7704,"4,425",4.43,44.17,-23.85,Dim Node 19,44.16,-23.85,0.0,44.17,-23.84,0.0,,,,,,,,,
25,Dimension,80879C14-0BB5-7548-9FEE-76C88E879D39,,,23.70,,,Dim 6,44.07,-23.91,7.0,44.26,-0.09,7.0,,,,,,,,,
26,DimNode 20,98EF021C-92DA-3647-A30F-5CEDD975759E,F8BECCF9-69AE-9F46-8506-83CA71803790,"0,000",0.00,46.19,-26.88,Dim Node 20,46.19,-26.88,0.0,46.2,-26.87,0.0,,,,,,,,,
27,DimNode 21,98EF021C-92DA-3647-A30F-5CEDD975759E,07DF54FB-DECF-F044-8D7C-61A30C3E8E6A,"12,200",12.20,58.39,-26.88,Dim Node 21,58.39,-26.88,0.0,58.4,-26.87,0.0,,,,,,,,,
28,Dimension,98EF021C-92DA-3647-A30F-5CEDD975759E,,,12.20,,,Dim 7,46.13,-26.97,7.0,58.45,-26.78,7.0,,,,,,,,,
29,DimNode 22,86160077-F52B-0E4D-8CA1-808E943A8A63,F8BECCF9-69AE-9F46-8506-83CA71803790,"0,000",0.00,46.19,-25.88,Dim Node 22,46.19,-25.88,0.0,46.2,-25.87,0.0,,,,,,,,,
30,DimNode 23,86160077-F52B-0E4D-8CA1-808E943A8A63,E367656E-83C9-6345-BDDE-DCA5F3F0E77B,"4,975",4.98,51.17,-25.88,Dim Node 23,51.16,-25.88,0.0,51.17,-25.87,0.0,,,,,,,,,
