node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,width,height,label_type,embedded_door_guid,embedded_in_wall_guid
0,DimNode 0,6B384789-FF24-464E-8578-5838C1C2E80F,00000000-0000-0000-0000-000000000000,0.000,0.00,102.21,10.62,Dim Node 0,102.21,10.61,0.0,102.22,10.62,0.0,,,,,
1,DimNode 1,6B384789-FF24-464E-8578-5838C1C2E80F,00000000-0000-0000-0000-000000000000,3.300,3.30,105.51,10.62,Dim Node 1,105.51,10.61,0.0,105.52,10.62,0.0,,,,,
2,DimNode 2,6B384789-FF24-464E-8578-5838C1C2E80F,00000000-0000-0000-0000-000000000000,3.300,3.30,108.81,10.62,Dim Node 2,108.81,10.61,0.0,108.82,10.62,0.0,,,,,
3,DimNode 3,6B384789-FF24-464E-8578-5838C1C2E80F,00000000-0000-0000-0000-000000000000,3.300,3.30,112.11,10.62,Dim Node 3,112.11,10.61,0.0,112.12,10.62,0.0,,,,,
4,DimNode 4,6B384789-FF24-464E-8578-5838C1C2E80F,00000000-0000-0000-0000-000000000000,3.300,3.30,115.41,10.62,Dim Node 4,115.41,10.61,0.0,115.42,10.62,0.0,,,,,
5,DimNode 5,6B384789-FF24-464E-8578-5838C1C2E80F,00000000-0000-0000-0000-000000000000,3.300,3.30,118.71,10.62,Dim Node 5,118.71,10.61,0.0,118.72,10.62,0.0,,,,,
6,DimNode 6,6B384789-FF24-464E-8578-5838C1C2E80F,00000000-0000-0000-0000-000000000000,3.300,3.30,122.01,10.62,Dim Node 6,122.01,10.61,0.0,122.02,10.62,0.0,,,,,
7,DimNode 7,6B384789-FF24-464E-8578-5838C1C2E80F,00000000-0000-0000-0000-000000000000,3.300,3.30,125.31,10.62,Dim Node 7,125.31,10.61,0.0,125.32,10.62,0.0,,,,,
8,Dimension,6B384789-FF24-464E-8578-5838C1C2E80F,,,23.10,,,Dim 1,102.15,10.52,0.0,125.37,10.71,0.0,,,,,
9,Wall,0CDD01AF-98ED-43E0-B6E3-7E6DE430D56E,,,12.30,,,Basic Wall:Generic - 350mm:314221,92.09,-4.88,-1.87,92.44,7.42,0.34,0.35,2.21,0.0,,
10,Wall,1CD29418-0FBB-4045-A168-407891FC1566,,,20.89,,,Basic Wall:Generic - 350mm:314222,78.85,-5.06,-1.87,99.74,-4.71,0.34,0.35,2.21,0.0,,
11,Wall,FC4641B3-E420-402F-82AD-C0F8DC03AA9A,,,3.91,,,Basic Wall:Generic - 350mm:314223,101.6,-5.06,-1.87,105.5,-4.71,0.34,0.35,2.21,0.0,,
12,Wall,FC25B4AB-257E-4A37-8310-68A5B9A6BE2C,,,3.69,,,Basic Wall:Generic - 350mm:314224,102.02,-4.71,-1.87,102.37,-1.02,0.34,0.35,2.21,0.0,,
13,Wall,35125D60-5B8D-4ECC-9ADF-DB2E4C386856,,,12.30,,,Basic Wall:Generic - 350mm:314225,105.33,-4.88,-1.87,105.68,7.42,0.34,0.35,2.21,0.0,12236AE9-37ED-43D8-BA26-DD12C5FBC9FD,
14,Wall,7F2FD826-6332-4AB4-B0B7-F2025C2478B9,,,7.52,,,Basic Wall:Generic - 350mm:314226,102.02,-0.1,-1.87,102.37,7.42,0.34,0.35,2.21,0.0,,
15,Wall,E968CBE0-19B3-4E3C-B8A8-56F3CC16B246,,,12.30,,,Basic Wall:Generic - 350mm:314227,98.71,-4.88,-1.87,99.06,7.42,0.34,0.35,2.21,0.0,,
16,Wall,42401B95-8A0F-4142-8B0F-7DDC197C674F,,,12.30,,,Basic Wall:Generic - 350mm:314228,95.4,-4.88,-1.87,95.75,7.42,0.34,0.35,2.21,0.0,,
17,Wall,B8CB20A7-F6A9-4B18-9AB1-4B2F0D4286DF,,,13.24,,,Basic Wall:Generic - 350mm:314229,92.26,5.17,-1.87,105.5,5.52,0.34,0.35,2.21,0.0,"6F0BD77B-51A2-41E0-81F7-36EF842A0D08, 050FF105-F296-49E8-9DF8-5E3805F2F1E2, 5601CE6E-D56B-4C9C-A83E-764BC413EC95",
18,Wall,DBC36769-07B2-4AAA-92E8-2931C01DC30D,,,3.31,,,Basic Wall:Generic - 350mm:314230,98.88,0.67,-1.87,102.19,1.02,0.34,0.35,2.21,0.0,,
19,Wall,0F42A1D4-8FF7-4511-8CD2-65F828E5812C,,,3.31,,,Basic Wall:Generic - 350mm:314231,95.57,-1.45,-1.87,98.88,-1.09,0.34,0.35,2.21,0.0,,
20,Wall,D1C356A8-8BA2-49C3-9146-ACA3E057F59F,,,3.31,,,Basic Wall:Generic -230mm:314232,98.88,-3.65,-1.87,102.19,-3.42,0.34,0.23,2.21,0.0,,
21,Wall,96C942C4-2386-491A-87E4-6519313A84E0,,,2.02,,,Basic Wall:Generic -110mm:314233,103.49,0.45,-1.87,105.5,0.56,0.34,0.11,2.21,0.0,,
22,Wall,09BABCB8-4436-4C1D-9E42-8456D507429E,,,5.85,,,Basic Wall:230mm:425109,76.15,-44.2,-4.07,80.15,-39.62,-0.87,0.23,3.20,0.0,,
23,Wall,99C21D1C-B0AD-4D90-A701-DE4E6C8451D0,,,5.11,,,Basic Wall:230mm:425113,79.98,-48.08,-4.87,83.48,-44.05,-1.97,0.23,2.90,0.0,,
24,Wall,0B46A249-8F7E-4588-B6FF-7DAC584BD870,,,10.14,,,Basic Wall:230mm:425117,83.31,-55.79,-6.87,90.08,-47.93,-2.77,0.23,4.10,0.0,,
25,Wall,02DED196-3923-42E9-8928-FD2E07C4BC54,,,0.55,,,Basic Wall:230mm:425129,90.02,-56.34,-6.87,90.58,-55.79,-2.77,0.23,4.10,0.0,,
26,Wall,06E9275C-4C90-4C15-8E6E-BF061A1402F0,,,0.47,,,Basic Wall:230mm:425133,89.69,-56.33,-6.87,90.18,-55.83,-2.77,0.23,4.10,0.0,,
27,Wall,023E69C6-8ACD-4AF4-9423-ED0D15248C95,,,0.55,,,Basic Wall:230mm:425137,89.7,-55.99,-6.87,90.26,-55.45,-2.77,0.23,4.10,0.0,,
28,Wall,F73FA29F-666F-4898-9538-E4AA9A9E2DFF,,,0.47,,,Basic Wall:230mm:425141,90.09,-55.95,-6.87,90.58,-55.45,-2.77,0.23,4.10,0.0,,
29,Wall,34E2AD07-371E-47D8-8F67-6512F6103DB3,,,8.21,,,Basic Wall:230mm:425396,96.27,-49.85,-11.87,102.63,-44.31,-4.37,0.23,7.50,0.0,,
30,Wall,6FC2A26E-7A7C-4DBE-9B65-7C61FA7C08AF,,,5.23,,,Basic Wall:230mm:425400,102.53,-44.51,-11.87,107.68,-43.11,-4.37,0.23,7.50,0.0,,
31,Wall,2D6788AE-AF92-4EA5-9B35-71E0756A822F,,,2.32,,,Basic Wall:230mm:425404,107.0,-43.24,-11.87,107.77,-40.94,-4.37,0.23,7.50,0.0,,
32,Wall,D5D79431-AECC-4F23-9E2E-AD5BB026E44B,,,3.55,,,Basic Wall:230mm:425408,103.6,-42.36,-11.87,107.1,-41.24,-4.37,0.23,7.50,0.0,,
33,Wall,BC30E725-5F66-4041-A1BD-AE2BC1896D41,,,1.02,,,Basic Wall:230mm:425412,103.34,-42.27,-11.87,103.74,-41.22,-4.37,0.23,7.50,0.0,,
34,Wall,FF299D49-B7F2-4BD4-A436-0AA6C05A8482,,,3.55,,,Basic Wall:230mm:425416,103.42,-41.36,-11.87,106.93,-40.33,-4.37,0.23,7.50,0.0,,
35,Wall,CC1CF206-1EDB-44F2-AEE9-BD804849F9D1,,,3.30,,,Basic Wall:230mm:425420,110.4,-42.02,-6.87,113.3,-40.05,-4.37,0.23,2.50,0.0,,
36,Wall,DF324805-743B-450B-B8FC-6C9F551AC5BC,,,6.78,,,Basic Wall:230mm:425424,113.21,-42.04,-6.87,119.87,-40.29,-4.37,0.23,2.50,0.0,,
37,Wall,E3F2DBB9-FC7A-4033-9DCB-98F438BDFC3C,,,11.10,,,Basic Wall:230mm:425428,119.82,-40.52,-6.87,130.66,-37.67,-4.37,0.23,2.50,0.0,,
38,Wall,D143D85F-C687-407C-AE5F-75F07BCD57D2,,,9.64,,,Basic Wall:230mm:425432,130.52,-37.78,-6.87,130.89,-28.15,-3.75,0.23,3.12,0.0,,
39,Wall,D3CD56D6-7D3E-4D7C-A42B-5571B520CB94,,,9.98,,,Basic Wall:230mm:425436,130.66,-28.15,-5.85,131.04,-18.17,-2.67,0.23,3.18,0.0,,
40,Wall,5F0B601D-2840-45FD-BC18-52D42F4A121D,,,6.97,,,Basic Wall:230mm:425440,130.81,-18.17,-4.77,131.08,-11.2,-1.47,0.23,3.30,0.0,,
41,Wall,AA615336-488C-4531-8363-56ECB814ABBD,,,6.26,,,Basic Wall:230mm:425444,130.84,-11.2,-3.57,131.08,-4.94,-0.17,0.23,3.40,0.0,,
42,Wall,5D83A657-C49B-49E1-A9D4-4399CCEBBDB2,,,12.30,,,Basic Wall:230mm:425453,130.93,0.63,-1.57,131.37,12.93,2.21,0.23,3.78,0.0,,
43,Wall,7BE227D9-39F4-445A-87BD-FA290370783F,,,5.41,,,Basic Wall:230mm:425457,131.2,17.14,1.0,131.53,22.56,4.4,0.23,3.40,0.0,,
44,Wall,1A58B9BF-6032-4A4B-BB34-A44EDA7F70AA,,,4.22,,,Basic Wall:230mm:425461,131.14,12.92,0.0,131.43,17.15,3.1,0.23,3.10,0.0,,
45,Wall,B14CB0A5-D8C1-42B1-A9E1-54963573B967,,,0.45,,,Basic Wall:230mm:425465,131.31,22.66,1.0,131.76,22.9,4.4,0.23,3.40,0.0,,
46,Wall,81B460CE-4BF3-454C-9CF3-EFDD73977460,,,0.34,,,Basic Wall:230mm:425469,131.42,22.43,1.0,131.76,22.67,4.4,0.23,3.40,0.0,,
47,Wall,B99FF556-9950-45A4-AC31-1B1AFB0CC454,,,2.73,,,Basic Wall:Generic - 350mm:314177,125.14,6.53,0.0,125.49,9.26,2.21,0.35,2.21,0.0,,
48,Wall,66D5C344-641C-4AE2-B301-CC6B1A3C8B0B,,,5.27,,,Basic Wall:Generic - 350mm:314178,125.14,0.36,0.0,125.49,5.63,2.21,0.35,2.21,0.0,,
49,Wall,BAB84885-24E1-45EE-93AA-50F744103F10,,,0.58,,,Basic Wall:Generic -230mm:314179,121.96,6.59,0.0,122.19,7.17,2.21,0.23,2.21,0.0,3BED7E65-B5EA-4708-84C8-25322DE00B44,
50,Wall,F6726267-B8C6-415B-97FB-EB05CC149BC6,,,3.30,,,Basic Wall:Generic -230mm:314180,122.01,4.54,0.0,125.31,4.77,2.21,0.23,2.21,0.0,,
51,Wall,D3E1B120-F296-4D6C-8AC8-2A0C64F313BA,,,2.08,,,Basic Wall:Generic - 350mm:314181,121.84,7.17,0.0,122.19,9.26,2.21,0.35,2.21,0.0,,
52,Wall,2557274B-2CEB-4704-AEEC-06ACDF24295E,,,1.74,,,Basic Wall:Generic - 350mm:314182,121.84,2.91,0.0,122.19,4.65,2.21,0.35,2.21,0.0,,
